label,answer,hint,explanation,theme,difficulty
Les protège-dents sont-ils obligatoires pour participer à un match de roller derby ?,Oui,Pensez à ce qui protège vos dents lors des impacts.,"Oui, les protège-dents sont obligatoires car ils protègent vos dents et votre mâchoire lors des contacts fréquents. Jouer sans protège-dents peut entraîner des blessures graves et une disqualification.",Équipement,1
Les roues de patins doivent-elles être adaptées à la surface sur laquelle vous jouez ?,Oui,Réfléchissez à la différence entre une surface lisse et une surface adhérente.,"Oui, des roues adaptées permettent une meilleure adhérence et un contrôle optimal. Par exemple, des roues dures conviennent aux surfaces lisses et glissantes, tandis que des roues tendres sont idéales pour des sols plus rugueux.",Équipement,2
Peut-on jouer sans genouillères si l’on ne tombe jamais ?,Non,Pensez à ce qui protège vos articulations en cas de chute imprévue.,"Non, les genouillères sont obligatoires car même les meilleur·es joueur·euses tombent parfois. Elles protègent vos rotules et évitent les blessures graves lors de chutes ou de collisions.",Équipement,1
Un casque est-il nécessaire même si vous êtes un·e joueur·euse très expérimenté·e ?,Oui,Imaginez une collision accidentelle ou une chute inattendue.,"Oui, un casque est indispensable pour protéger votre tête. Même un·e joueur·euse expérimenté·e peut tomber ou subir une collision, et un casque bien ajusté réduit considérablement les risques de traumatisme crânien.",Équipement,1
Les coudières doivent-elles être portées correctement ajustées pour être efficaces ?,Oui,Pensez à comment elles restent en place pendant un match intense.,"Oui, des coudières bien ajustées protègent efficacement vos coudes contre les impacts et les abrasions. Si elles bougent ou glissent, elles ne joueront pas leur rôle de manière optimale.",Équipement,2
Utiliser son avant-bras pour pousser un·e adversaire est-il autorisé ?,Non,Pensez aux parties du corps légales pour bloquer.,"Non, utiliser son avant-bras pour pousser ou bloquer un·e adversaire est interdit. Cela entraîne une faute de type 'Forearm', car seuls les épaules, les hanches, le torse, et les cuisses peuvent être utilisés pour bloquer.",Pénalités,1
Bloquer un·e adversaire dans le dos est-il légal ?,Non,Imaginez où le contact est le plus sûr pour l'adversaire.,"Non, bloquer un·e adversaire dans le dos est interdit car iel ne peut pas anticiper le contact. Cela entraîne une faute de type 'Back Block'.",Pénalités,1
Couper la piste pour dépasser un·e adversaire est-il autorisé ?,Non,Pensez aux limites de la piste et au fair-play.,"Non, couper la piste pour dépasser un·e adversaire entraîne une faute de type 'Cutting the Track'. Vous devez rester dans les limites pour que vos actions soient valides.",Pénalités,1
Un·e joueur·euse peut-il·elle continuer à bloquer un·e adversaire hors du Pack ?,Non,Réfléchissez aux limites de la zone de jeu.,"Non, bloquer hors du Pack est une faute de type 'Out of Play'. Vous devez rester dans la zone d'engagement pour interagir avec un·e adversaire.",Pénalités,2
Est-il légal de bloquer un·e adversaire en utilisant ses pieds ?,Non,Pensez aux parties du corps utilisées pour bloquer.,"Non, utiliser ses pieds pour bloquer entraîne une faute de type 'Low Block'. Ce type de contact est dangereux pour vous et les autres joueur·euses.",Pénalités,1
Un·e joueur·euse peut-il·elle rester en position illégale sur la piste sans être pénalisé·e ?,Non,Pensez aux zones où vous devez rester pendant le jeu.,"Non, rester en position illégale entraîne une faute de type 'Illegal Position'. Vous devez être dans le Pack ou dans la zone d'engagement.",Pénalités,2
Un contact avec la tête est-il autorisé ?,Non,Imaginez les parties du corps fragiles et dangereuses à utiliser.,"Non, utiliser ou viser la tête lors d'un contact est interdit. Cela entraîne une faute de type 'Head Block', car c'est dangereux et risqué.",Pénalités,3
Un·e joueur·euse peut-il·elle ignorer un arbitre qui lui signale une faute ?,Non,Réfléchissez aux conséquences d'ignorer une instruction.,"Non, ignorer un appel de faute entraîne une faute de type 'Failure to Return'. Vous devez immédiatement suivre les instructions de l'arbitre.",Pénalités,2
Un Jammer peut-il marquer des points même s'iel pousse un·e adversaire hors de son chemin avec ses mains ?,Non,Pensez aux actions légales pour dépasser un·e adversaire.,"Non, pousser avec ses mains entraîne une faute de type 'Forearm'. Vous devez utiliser des actions légales pour marquer des points.",Pénalités,2
Un·e joueur·euse peut-il·elle bloquer un·e adversaire hors des limites de la piste ?,Non,Pensez aux limites de la zone de jeu.,"Non, bloquer un·e adversaire hors des limites entraîne une faute de type 'Out of Bounds Block'. Vous devez rester dans les limites pour interagir.",Pénalités,2
Un·e Jammer peut-il·elle initier un contact dangereux pour éviter un blocage ?,Non,Réfléchissez aux conséquences des actions illégales.,"Non, initier un contact dangereux entraîne une faute de type 'Illegal Contact'. Jouer de manière dangereuse est interdit.",Pénalités,3
Un·e joueur·euse peut-il·elle continuer à patiner même après 7 fautes ?,Non,Pensez au nombre maximal de fautes autorisées.,"Non, après 7 fautes, un·e joueur·euse est expulsé·e du match. Cela garantit un jeu plus sûr et équitable.",Pénalités,1
Est-il permis de bloquer un·e adversaire en utilisant la zone entre vos genoux et vos pieds ?,Non,Pensez aux zones d'impact légales.,"Non, bloquer avec la zone entre les genoux et les pieds entraîne une faute de type 'Low Block'. Cela peut provoquer des chutes dangereuses.",Pénalités,2
Un·e joueur·euse peut-il·elle purger moins de 30 secondes dans la Penalty Box ?,Non,Pensez à la durée minimale de la pénalité.,"Non, une pénalité standard doit durer 30 secondes. Toute sortie prématurée entraîne une faute supplémentaire.",Pénalités,1
Peut-on pousser un·e adversaire en dehors de la piste pour la pénaliser ?,Non,Réfléchissez aux actions légales pour interagir avec un·e adversaire.,"Non, pousser un·e adversaire hors des limites de manière illégale entraîne une faute de type 'Out of Bounds Block'.",Pénalités,2
Un bloqueur peut-il quitter le Pack pour bloquer un Jammer ?,Non,Pensez aux règles sur la position des bloqueurs.,"Non, quitter le Pack pour bloquer entraîne une faute de type 'Out of Play'. Vous devez rester dans le Pack pour interagir.",Pénalités,2
Est-il légal d'utiliser les épaules pour bloquer un·e adversaire ?,Oui,Pensez aux zones d'impact autorisées pour bloquer.,"Oui, utiliser les épaules pour bloquer est légal tant que le contact est initié dans une zone d'impact légale et de manière contrôlée.",Pénalités,1
Un·e joueur·euse peut-il·elle rester immobile pour gêner un·e adversaire ?,Non,Réfléchissez à ce qui pourrait ralentir le jeu.,"Non, rester immobile de manière délibérée pour gêner le jeu est considéré comme une faute de type 'Blocking with the Head or Illegal Contact'.",Pénalités,3
Peut-on rester volontairement en dehors des limites pour éviter un blocage ?,Non,Pensez à l'esprit sportif du jeu.,"Non, rester volontairement hors des limites pour éviter un blocage est interdit et entraîne une faute de type 'Skating Out of Bounds'.",Pénalités,2
Un·e joueur·euse peut-il·elle être expulsé·e pour un comportement violent ou dangereux ?,Oui,Pensez à ce qui garantit un jeu sûr et équitable.,"Oui, un·e joueur·euse peut être expulsé·e pour une faute de type 'Gross Misconduct', en cas de comportement violent ou dangereux.",Pénalités,3
Le·la Jammer peut marquer des points en dépassant les hanches des adversaires ?,Oui,Réfléchissez à comment les points sont attribués.,"Oui, un·e Jammer marque 1 point pour chaque adversaire légalement dépassé·e (une fois que le tour initial est terminé).",Marquer des points,1
Le·la Pivot est-il·elle obligatoirement le·la joueur·euse +1 ?,Non,Réfléchissez au rôle de la coiffe avec la bande.,"Non, le·la Pivot est le·la bloqueur·euse avec la coiffe à bande, mais iel peut devenir Jammer si le 'star pass' est effectué.",Rôles des joueur·euses,2
