label,possible_a,possible_b,possible_c,possible_d,answer,hint,explanation,theme,difficulty
Combien de joueur·euses par équipe sont autorisé·es sur la piste pendant un Jam ?,3,5,7,4,5,Pensez au rôle de chaque joueur·euse sur la piste.,"Chaque équipe aligne 4 bloqueur·euses (dont un·e Pivot) et 1 Jammer, soit 5 joueur·euses.",Composition des équipes,1
Combien de temps maximum dure un Jam ?,30 secondes,1 minute,2 minutes,3 minutes,2 minutes,Réfléchissez à la durée totale d'un Jam.,"Un Jam peut durer un maximum de 2 minutes, sauf si le·la Jammer Lead appelle la fin avant.",Durée des Jams,1
Quel·le joueur·euse porte une coiffe avec une étoile ?,Bloqueur·euse,Jammer,Pivot,NSO,Jammer,Pensez au rôle principal de marquer des points.,Le·la Jammer porte une coiffe étoilée pour indiquer qu'iel peut marquer des points.,Rôles des joueur·euses,1
Comment appelle-t-on le groupe de bloqueur·euses des deux équipes regroupé·es ?,Zone de contact,Pack,Ligne de pivot,Ligne d'engagement,Pack,Pensez à ce qui forme la zone de jeu principale.,Le Pack est la zone où les bloqueur·euses des deux équipes sont regroupé·es à moins de 3 mètres.,Pack,1
Quelle partie du corps n'est PAS autorisée pour bloquer ?,Les hanches,Les épaules,Les genoux,Le torse,Les genoux,Réfléchissez aux parties du corps dangereuses pour bloquer.,Les genoux sont interdits pour bloquer car ils augmentent le risque de blessure.,Zones d'impact,2
Que se passe-t-il si le·la Jammer Lead reçoit une pénalité ?,Iel perd son statut de Lead,Iel doit quitter la piste,Iel ne peut plus marquer de points,Iel peut continuer normalement,Iel perd son statut de Lead,Réfléchissez aux conséquences des fautes pour le·la Jammer Lead.,Un·e Jammer Lead perd son statut s'iel reçoit une pénalité pendant le Jam.,Lead Jammer,2
Combien de temps dure un match de roller derby ?,30 minutes,60 minutes,50 minutes,2 fois 30 minutes,2 fois 30 minutes,Réfléchissez à la durée totale du match.,Un match de roller derby se joue en deux périodes de 30 minutes.,Durée des matchs,1
Quel·le joueur·euse peut devenir Jammer en cours de Jam ?,Bloqueur·euse,Arbitre,Pivot,Jammer Lead,Pivot,Pensez au rôle spécifique du·de la Pivot.,Le·la Pivot peut devenir Jammer en recevant la coiffe étoilée lors d'un 'star pass'.,Rôles des joueur·euses,2
Comment appelle-t-on le·la joueur·euse qui contrôle les pénalités et le temps ?,SO,NSO,Jammer Lead,Pivot,NSO,Pensez au rôle des arbitres non-patinant·es.,"Le·la NSO (Non-Skating Official) gère les pénalités, le temps et le score.",Rôle des arbitres,2
Quel geste fait le·la Jammer Lead pour appeler la fin du Jam ?,Tapoter ses hanches,Lever une main,Lever les deux bras,Faire un signe au·à la Pivot,Tapoter ses hanches,Pensez au geste qui indique la fin du Jam.,Le·la Jammer Lead appelle la fin du Jam en tapotant ses hanches.,Lead Jammer,1
Combien de points un·e Jammer peut-iel marquer par adversaire dépassé·e ?,1,2,3,4,1,Pensez au nombre de points par adversaire légalement dépassé·e.,"Un·e Jammer marque 1 point par adversaire dépassé·e, une fois le tour initial terminé.",Marquer des points,1
